Year,Month,County,Registration type,Engine type,Car registration count
2019,May,Kilkenny,New Irish Registrations,Hybrid,9
2019,June,Kilkenny,New Irish Registrations,Hybrid,1
2019,July,Kilkenny,New Irish Registrations,Hybrid,36
2019,August,Kilkenny,New Irish Registrations,Hybrid,6
2019,September,Kilkenny,New Irish Registrations,Hybrid,5
2019,October,Kilkenny,New Irish Registrations,Hybrid,2
2019,January,Kilkenny,Used Imports,Hybrid,9
2019,February,Kilkenny,Used Imports,Hybrid,8
2019,March,Kilkenny,Used Imports,Hybrid,4
2019,April,Kilkenny,Used Imports,Hybrid,9
2019,May,Kilkenny,Used Imports,Hybrid,3
2019,June,Kilkenny,Used Imports,Hybrid,3
2019,July,Kilkenny,Used Imports,Hybrid,6
2019,August,Kilkenny,Used Imports,Hybrid,6
2019,September,Kilkenny,Used Imports,Hybrid,5
2019,October,Kilkenny,Used Imports,Hybrid,5
2019,January,Longford,New Irish Registrations,Non electric,149
2019,February,Longford,New Irish Registrations,Non electric,57
2019,March,Longford,New Irish Registrations,Non electric,41
2019,April,Longford,New Irish Registrations,Non electric,20
2019,May,Longford,New Irish Registrations,Non electric,16
2019,June,Longford,New Irish Registrations,Non electric,3
2019,July,Longford,New Irish Registrations,Non electric,87
2019,August,Longford,New Irish Registrations,Non electric,20
2019,September,Longford,New Irish Registrations,Non electric,8
2019,October,Longford,New Irish Registrations,Non electric,5
2019,January,Longford,Used Imports,Non electric,89
2019,February,Longford,Used Imports,Non electric,89
2019,March,Longford,Used Imports,Non electric,100
2019,April,Longford,Used Imports,Non electric,86
2019,May,Longford,Used Imports,Non electric,114
2019,June,Longford,Used Imports,Non electric,81
2019,July,Longford,Used Imports,Non electric,94
2019,August,Longford,Used Imports,Non electric,100
2019,September,Longford,Used Imports,Non electric,105
2019,October,Longford,Used Imports,Non electric,108
2019,January,Longford,New Irish Registrations,Electric,5
2019,February,Longford,New Irish Registrations,Electric,2
2019,March,Longford,New Irish Registrations,Electric,1
2019,April,Longford,New Irish Registrations,Electric,1
2019,May,Longford,New Irish Registrations,Electric,1
2019,July,Longford,New Irish Registrations,Electric,5
2019,August,Longford,New Irish Registrations,Electric,1
2019,October,Longford,New Irish Registrations,Electric,2
2019,April,Longford,Used Imports,Electric,1
2019,January,Longford,New Irish Registrations,Hybrid,19
2019,February,Longford,New Irish Registrations,Hybrid,10
2019,March,Longford,New Irish Registrations,Hybrid,11
2019,April,Longford,New Irish Registrations,Hybrid,17
2019,May,Longford,New Irish Registrations,Hybrid,4
2019,June,Longford,New Irish Registrations,Hybrid,1
2019,July,Longford,New Irish Registrations,Hybrid,14
2019,August,Longford,New Irish Registrations,Hybrid,4
2019,October,Longford,New Irish Registrations,Hybrid,3
2019,February,Longford,Used Imports,Hybrid,1
2019,March,Longford,Used Imports,Hybrid,3
2019,April,Longford,Used Imports,Hybrid,3
2019,May,Longford,Used Imports,Hybrid,2
2019,June,Longford,Used Imports,Hybrid,2
2019,August,Longford,Used Imports,Hybrid,6
2019,September,Longford,Used Imports,Hybrid,3
2019,October,Longford,Used Imports,Hybrid,3
2019,January,Louth,New Irish Registrations,Non electric,785
2019,February,Louth,New Irish Registrations,Non electric,306
2019,March,Louth,New Irish Registrations,Non electric,307
2019,April,Louth,New Irish Registrations,Non electric,161
2019,May,Louth,New Irish Registrations,Non electric,109
2019,June,Louth,New Irish Registrations,Non electric,15
2019,July,Louth,New Irish Registrations,Non electric,457
2019,August,Louth,New Irish Registrations,Non electric,77
2019,September,Louth,New Irish Registrations,Non electric,61
2019,October,Louth,New Irish Registrations,Non electric,37
2019,January,Louth,Used Imports,Non electric,287
2019,February,Louth,Used Imports,Non electric,316
2019,March,Louth,Used Imports,Non electric,304
2019,April,Louth,Used Imports,Non electric,273
2019,May,Louth,Used Imports,Non electric,329
2019,June,Louth,Used Imports,Non electric,285
2019,July,Louth,Used Imports,Non electric,331
2019,August,Louth,Used Imports,Non electric,343
2019,September,Louth,Used Imports,Non electric,322
2019,October,Louth,Used Imports,Non electric,380
2019,January,Louth,New Irish Registrations,Electric,25
2019,February,Louth,New Irish Registrations,Electric,5
2019,March,Louth,New Irish Registrations,Electric,8
